Date,T,U
2017-08-10,11.299999999999999,85.20833333333333
2017-08-11,7.341666666666666,87.29166666666667
2017-08-12,3.379166666666667,81.79166666666667
2017-08-13,17.816666666666666,78.29166666666667
2017-08-14,19.90416666666667,71.625
2017-08-15,21.025000000000006,72.54166666666667
2017-08-16,20.683333333333337,72.83333333333333
2017-08-17,20.962499999999995,77.29166666666667
2017-08-18,20.412499999999998,77.75
2017-08-19,17.025,68.33333333333333
2017-08-20,15.995833333333332,62.0
2017-08-21,15.633333333333331,66.875
2017-08-22,16.058333333333334,67.0
2017-08-23,14.77142857142857,74.28571428571429
2017-08-24,19.320833333333336,68.0
2017-08-25,20.304166666666667,68.75
2017-08-26,21.8,77.78260869565217
2017-08-27,20.9875,75.79166666666667
2017-08-28,20.645833333333336,63.291666666666664
2017-08-29,20.75,66.41666666666667
2017-08-30,23.445833333333336,65.58333333333333
2017-08-31,18.354166666666664,85.58333333333333
2017-09-01,-0.3083333333333334,91.83333333333333
2017-09-02,-1.6624999999999999,79.375
2017-09-03,8.733333333333333,92.83333333333333
2017-09-04,11.279166666666669,69.125
2017-09-05,8.541666666666668,68.16666666666667
2017-09-06,16.98333333333333,69.83333333333333
2017-09-07,23.412500000000005,65.125
2017-09-08,19.370833333333334,62.875
2017-09-09,14.391666666666666,77.0
2017-09-10,10.770833333333334,83.83333333333333
2017-09-11,7.233333333333333,92.875
2017-09-12,-0.40416666666666673,76.45833333333333
2017-09-13,13.695833333333333,77.125
2017-09-14,11.129166666666668,89.75
2017-09-15,11.629166666666665,79.79166666666667
2017-09-16,9.666666666666664,85.29166666666667
2017-09-17,10.879166666666665,81.54166666666667
2017-09-18,10.216666666666669,85.75
2017-09-19,11.200000000000001,82.58333333333333
2017-09-20,11.504166666666668,83.54166666666667
2017-09-21,10.570833333333335,83.04166666666667
2017-09-22,11.604166666666671,81.79166666666667
2017-09-23,14.016666666666664,79.0
2017-09-24,13.924999999999999,77.33333333333333
2017-09-25,12.454166666666666,83.33333333333333
2017-09-26,13.458333333333334,85.125
2017-09-27,13.858333333333333,83.54166666666667
2017-09-28,14.295833333333333,86.95833333333333
2017-09-29,14.987499999999999,93.625
2017-09-30,15.741666666666667,86.54166666666667
2017-10-01,-0.9249999999999998,78.625
2017-10-02,-0.375,79.95833333333333
2017-10-03,6.816666666666666,64.125
2017-10-04,13.429166666666667,62.375
2017-10-05,9.674999999999999,65.375
2017-10-06,16.375,72.91666666666667
2017-10-07,20.975,83.58333333333333
2017-10-08,15.620833333333332,89.54166666666667
2017-10-09,14.366666666666667,75.75
2017-10-10,11.308333333333332,93.16666666666667
2017-10-11,5.81304347826087,88.82608695652173
2017-10-12,-0.2166666666666666,81.125
2017-10-13,14.23478260869565,83.73913043478261
2017-10-14,15.141666666666666,80.16666666666667
2017-10-15,13.612499999999999,86.54166666666667
2017-10-16,14.191666666666665,83.125
2017-10-17,13.179166666666667,85.625
2017-10-18,11.720833333333337,91.04166666666667
2017-10-19,10.866666666666667,89.29166666666667
2017-10-20,12.845833333333333,84.41666666666667
2017-10-21,12.383333333333331,85.20833333333333
2017-10-22,9.704166666666666,83.5
2017-10-23,8.583333333333334,84.29166666666667
2017-10-24,11.041666666666666,88.83333333333333
2017-10-25,13.645833333333336,88.33333333333333
2017-10-26,11.091666666666667,91.875
2017-10-27,11.008333333333335,78.58333333333333
2017-10-28,8.554166666666665,77.54166666666667
2017-10-29,9.456000000000003,74.96
2017-10-30,6.333333333333335,76.125
2017-10-31,6.175,76.16666666666667
2017-11-01,0.8250000000000002,85.5
2017-11-02,1.145833333333333,82.375
2017-11-03,4.8791666666666655,72.16666666666667
2017-11-04,9.029166666666667,57.875
2017-11-05,14.458333333333334,64.125
2017-11-06,20.35833333333333,64.33333333333333
2017-11-07,19.23333333333333,76.29166666666667
2017-11-08,14.075000000000003,91.70833333333333
2017-11-09,12.670833333333334,79.375
2017-11-10,12.991666666666667,85.0
2017-11-11,5.383333333333334,89.95833333333333
